display_name,pdl_name,type
"Rapid City, South Dakota","rapid city, south dakota, united states",city
"Westminster, California","westminster, california, united states",city
"Clifton, New Jersey","clifton, new jersey, united states",city
"Waukegan, Illinois","waukegan, illinois, united states",city
"Bloomington, Minnesota","bloomington, minnesota, united states",city
"Mayagüez, Puerto Rico","mayagüez, puerto rico, puerto rico",city
"San Leandro, California","san leandro, california, united states",city
"Newton, Massachusetts","newton, massachusetts, united states",city
"Joplin, Missouri","joplin, missouri, united states",city
"Lawrence, Massachusetts","lawrence, massachusetts, united states",city
"Springdale, Arkansas","springdale, arkansas, united states",city
"Troy, Michigan","troy, michigan, united states",city
"Citrus Heights, California","citrus heights, california, united states",city
"Deerfield Beach, Florida","deerfield beach, florida, united states",city
"Town 'n' Country, Florida","town 'n' country, florida, united states",city
"Winchester, Virginia","winchester, virginia, united states",city
"Mission, Texas","mission, texas, united states",city
"Bryan, Texas","bryan, texas, united states",city
"Hawthorne, California","hawthorne, california, united states",city
"Whittier, California","whittier, california, united states",city
"Livermore, California","livermore, california, united states",city
"Lake Forest, California","lake forest, california, united states",city
"San Ramon, California","san ramon, california, united states",city
"Melbourne, Florida","melbourne, florida, united states",city
"Franklin, Tennessee","franklin, tennessee, united states",city
"Auburn, Washington","auburn, washington, united states",city
"Port Huron, Michigan","port huron, michigan, united states",city
"Decatur, Illinois","decatur, illinois, united states",city
"Baytown, Texas","baytown, texas, united states",city
"Brooklyn Park, Minnesota","brooklyn park, minnesota, united states",city
"Springfield, Ohio","springfield, ohio, united states",city
"Newport Beach, California","newport beach, california, united states",city
"Westland, Michigan","westland, michigan, united states",city
"Newark, Ohio","newark, ohio, united states",city
"Muncie, Indiana","muncie, indiana, united states",city
"Farmington Hills, Michigan","farmington hills, michigan, united states",city
"Cicero, Illinois","cicero, illinois, united states",city
"Buena Park, California","buena park, california, united states",city
"Warwick, Rhode Island","warwick, rhode island, united states",city
"Hattiesburg, Mississippi","hattiesburg, mississippi, united states",city
"Cranston, Rhode Island","cranston, rhode island, united states",city
"Albany, Georgia","albany, georgia, united states",city
"Layton, Utah","layton, utah, united states",city
"Madera, California","madera, california, united states",city
"Largo, Florida","largo, florida, united states",city
"Redwood City, California","redwood city, california, united states",city
